2021-03-04
Országos oltási statisztika:

1007,Budapest,Margitsziget {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1011,Budapest,I. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1012,Budapest,I. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1013,Budapest,I. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1014,Budapest,I. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1015,Budapest,I. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1016,Budapest,I. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1021,Budapest,II. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1022,Budapest,II. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1023,Budapest,II. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1024,Budapest,II. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1025,Budapest,II. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1026,Budapest,II. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1027,Budapest,II. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1028,Budapest,II. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1029,Budapest,II. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1031,Budapest,III. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1032,Budapest,III. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1033,Budapest,III. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1034,Budapest,III. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1035,Budapest,III. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1036,Budapest,III. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1037,Budapest,III. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1038,Budapest,III. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1039,Budapest,III. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1041,Budapest,IV. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1042,Budapest,IV. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1043,Budapest,IV. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1044,Budapest,IV. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1045,Budapest,IV. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1046,Budapest,IV. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1047,Budapest,IV. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1048,Budapest,IV. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1051,Budapest,V. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1052,Budapest,V. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1053,Budapest,V. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1054,Budapest,V. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1055,Budapest,V. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1056,Budapest,V. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1061,Budapest,VI. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1062,Budapest,VI. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1063,Budapest,VI. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1064,Budapest,VI. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1065,Budapest,VI. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
1066,Budapest,VI. {0_beoltatlan=0, 1 alkalommal beoltott=0, 2 alkalommal beoltott=0}
